マスター,地名,よみがな
1,浅田,あさだ
1,浅野町,あさのちょう
1,旭町,あさひちょう
1,池上新町,いけがみしんちょう
1,池上町,いけがみちょう
1,池田,いけだ
1,砂子,いさご
1,伊勢町,いせちょう
1,浮島町,うきしまちょう
1,江川,えがわ
1,駅前本町,えきまえほんちょう
1,榎町,えのきちょう
1,追分町,おいわけちょう
1,扇町,おうぎまち
1,大川町,おおかわちょう
1,大島1丁目,おおしま
1,大島2丁目,おおしま
1,大島3丁目（1～17、21～32、36、37）,おおしま
1,大島3丁目（18～20、33～35、38）,おおしま
1,大島4丁目（1～4、14～23）,おおしま
1,大島4丁目（5～13）,おおしま
1,大島5丁目（1～10、16～31）,おおしま
1,大島5丁目（11～15）,おおしま
1,小川町,おがわちょう
1,小田1・2・4丁目,おだ
1,小田3・5・6・7丁目,おだ
1,小田栄,おださかえ
1,貝塚,かいづか
1,川中島,かわなかじま
1,観音,かんのん
1,京町1・2丁目,きょうまち
1,京町3丁目,きょうまち
1,鋼管通1～3丁目,こうかんどおり
1,鋼管通4・5丁目,こうかんどおり
1,小島町,こじまちょう
1,境町,さかいまち
1,桜本,さくらもと
1,塩浜1・4丁目,しおはま
1,塩浜2・3丁目,しおはま
1,下並木,しもなみき
1,昭和,しょうわ
1,白石町,しらいしちょう
1,新川通,しんかわどおり
1,大師駅前1丁目（1～14）,だいしえきまえ
1,大師駅前1丁目（15～18）,だいしえきまえ
1,大師駅前2丁目,だいしえきまえ
1,大師河原,だいしがわら
1,大師町,だいしまち
1,大師本町,だいしほんちょう
1,台町（1～7）,だいまち
1,台町（8～26）,だいまち
1,田島町,たじまちょう
1,田辺新田,たなべしんでん
1,田町,たまち
1,千鳥町,ちどりちょう
1,堤根,つつみね
1,出来野,できの
1,殿町,とのまち
1,中島,なかじま
1,中瀬,なかぜ
1,日進町,にっしんちょう
1,浜町,はまちょう
1,東扇島,ひがしおおぎしま
1,東田町,ひがしだちょう
1,東門前,ひがしもんぜん
1,日ノ出,ひので
1,藤崎1・2丁目,ふじさき
1,藤崎3丁目（1～7）,ふじさき
1,藤崎3丁目（8～15）,ふじさき
1,藤崎4丁目（1～4、9～16）,ふじさき
1,藤崎4丁目（18～35）,ふじさき
1,藤崎4丁目（5～8、17）,ふじさき
1,富士見,ふじみ
1,堀之内町,ほりのうちちょう
1,本町,ほんちょう
1,水江町,みずえちょう
1,港町,みなとちょう
1,南町,みなみまち
1,南渡田町,みなみわたりだちょう
1,宮前町,みやまえちょう
1,宮本町,みやもとちょう
1,元木,もとぎ
1,夜光1丁目,やこう
1,夜光2・3丁目,やこう
1,四谷上町（1～7、10～29）,よつやかみちょう
1,四谷上町（8、9）,よつやかみちょう
1,四谷下町,よつやしもちょう
1,渡田,わたりだ
1,渡田山王町,わたりださんのうちょう
1,渡田新町,わたりだしんちょう
1,渡田東町,わたりだひがしちょう
1,渡田向町,わたりだむかいちょう
2,遠藤町,えんどうまち
2,大宮町,おおみやちょう
2,小倉,おぐら
2,鹿島田,かしまだ
2,河原町,かわらまち
2,河原町団地1・2・3号棟,かわらまちだんち
2,河原町団地4・5・6・7・8・9号棟,かわらまちだんち
2,河原町団地12・13・14・15号棟,かわらまちだんち
2,北加瀬,きたかせ
2,小向町,こむかいちょう
2,小向仲野町,こむかいなかのちょう
2,小向西町,こむかいにしまち
2,紺屋町,こんやまち
2,幸町,さいわいちょう
2,下平間,しもひらま
2,新小倉,しんおぐら
2,新川崎,しんかわさき
2,新塚越,しんつかごし
2,神明町,しんめいちょう
2,塚越,つかごし
2,戸手,とて
2,戸手本町,とてほんまち
2,中幸町,なかさいわいちょう
2,東小倉,ひがしおぐら
2,東古市場,ひがしふるいちば
2,古市場,ふるいちば
2,古川町,ふるかわまち
2,堀川町,ほりかわちょう
2,南加瀬,みなみかせ
2,南幸町,みなみさいわいちょう
2,都町,みやこちょう
2,矢上,やがみ
2,柳町,やなぎちょう
3,井田,いだ
3,井田三舞町,いださんまいちょう
3,井田杉山町,いだすぎやまちょう
3,井田中ノ町,いだなかのちょう
3,市ノ坪,いちのつぼ
3,今井上町,いまいかみちょう
3,今井仲町,いまいなかまち
3,今井西町,いまいにしまち
3,今井南町,いまいみなみちょう
3,上小田中,かみこだなか
3,上新城,かみしんじょう
3,上平間,かみひらま
3,上丸子山王町,かみまるこさんのうちょう
3,上丸子天神町,かみまるこてんじんちょう
3,上丸子八幡町,かみまるこはちまんちょう
3,苅宿,かりやど
3,北谷町,きたやちょう
3,木月,きづき
3,木月伊勢町,きづきいせちょう
3,木月大町,きづきおおまち
3,木月祇園町,きづきぎおんちょう
3,木月住吉町,きづきすみよしちょう
3,小杉御殿町,こすぎごてんちょう
3,小杉陣屋町,こすぎじんやちょう
3,小杉町,こすぎまち
3,下小田中,しもこだなか
3,下新城,しもしんじょう
3,下沼部,しもぬまべ
3,新城,しんじょう
3,新城中町,しんじょうなかちょう
3,新丸子町,しんまるこまち
3,新丸子東,しんまるこひがし
3,田尻町,たじりちょう
3,等々力,とどろき
3,中丸子,なかまるこ
3,西加瀬,にしかせ
3,丸子通,まるこどおり
3,宮内,みやうち
4,明津,あくつ
4,宇奈根,うなね
4,梶ヶ谷,かじがや
4,蟹ヶ谷,かにがや
4,上作延,かみさくのべ
4,北見方,きたみがた
4,久地,くじ
4,坂戸,さかど
4,子母口,しぼくち
4,子母口富士見台,しぼくちふじみだい
4,下作延,しもさくのべ
4,下野毛,しものげ
4,新作,しんさく
4,末長,すえなが
4,諏訪,すわ
4,瀬田,せた
4,千年,ちとせ
4,千年新町,ちとせしんちょう
4,野川,のがわ
4,久末,ひさすえ
4,久本,ひさもと
4,二子,ふたご
4,溝口,みぞのくち
4,向ヶ丘,むかいがおか
5,有馬,ありま
5,犬蔵,いぬくら
5,梶ヶ谷,かじがや
5,けやき平,けやきだいら
5,五所塚,ごしょづか
5,小台,こだい
5,鷺沼,さぎぬま
5,潮見台,しおみだい
5,神木,しぼく
5,神木本町,しぼくほんちょう
5,白幡台,しらはただい
5,菅生,すがお
5,菅生ヶ丘,すがおがおか
5,平,たいら
5,土橋,つちはし
5,南平台,なんぺいだい
5,野川,のがわ
5,初山,はつやま
5,東有馬,ひがしありま
5,馬絹,まぎぬ
5,水沢,みずさわ
5,宮崎,みやざき
5,宮前平,みやまえだいら
6,生田,いくた
6,和泉,いずみ
6,栗谷,くりや
6,宿河原,しゅくがわら
6,菅,すげ
6,菅稲田堤,すげいなだづつみ
6,菅北浦,すげきたうら
